Transaction Date,Post Date,Description,Category,Type,Amount,Memo
02/27/2025,03/02/2025,BOSTON BOWL,Entertainment,Sale,-172.50,
02/27/2025,03/02/2025,HYATT ANDAZ SCOTTSDALE,Travel,Sale,-88.98,
02/25/2025,02/27/2025,HYATT ANDAZ SCOTTSDALE,Travel,Return,7.70,
02/25/2025,02/26/2025,WWW.UI.COM,Shopping,Sale,-192.86,
02/25/2025,02/26/2025,HYATT ANDAZ SCOTTSDALE,Travel,Sale,-7.70,
02/24/2025,02/26/2025,HYATT ANDAZ SCOTTSDALE,Travel,Sale,-212.17,
02/25/2025,02/25/2025,TTP* FRENZOFSTEPH,Personal,Sale,-640.00,
02/24/2025,02/25/2025,CHEVRON 0206657,Gas,Sale,-49.81,
02/22/2025,02/24/2025,HOMEDEPOT.COM,Home,Sale,-190.19,
02/22/2025,02/24/2025,PAUL MARTINS AMERICAN,Food & Drink,Sale,-220.44,
02/21/2025,02/23/2025,V-CARE PHARMACY,Health & Wellness,Sale,-10.00,
02/15/2025,02/16/2025,TST*STATE STREET PROVISI,Food & Drink,Sale,-213.20,
02/10/2025,02/11/2025,STOP &amp; SHOP 0053,Groceries,Sale,-63.77,
02/07/2025,02/09/2025,TST* CAPO SOUTH BOSTON,Food & Drink,Sale,-225.39,
02/06/2025,02/06/2025,Payment Thank You-Mobile,,Payment,2415.86,
02/04/2025,02/06/2025,STAR OSCO 4587,Groceries,Sale,-182.71,
02/04/2025,02/06/2025,MORRISSEY BLVD CITGO,Gas,Sale,-52.00,
02/01/2025,02/02/2025,ANNUAL MEMBERSHIP FEE,Fees & Adjustments,Fee,-95.00,
01/28/2025,01/30/2025,TST*FAT BABY,Food & Drink,Sale,-150.19,
01/29/2025,01/30/2025,CVS/PHARMACY #04022,Health & Wellness,Sale,-12.32,
01/25/2025,01/28/2025,VONG`S THAI CUISINE,Food & Drink,Sale,-26.59,
01/26/2025,01/28/2025,TST*CITRUS &amp; SALT,Food & Drink,Sale,-85.60,
01/19/2025,01/20/2025,HOAGIES PIZZA AND PASTA,Food & Drink,Sale,-42.34,
01/18/2025,01/19/2025,TST*THE FRIENDLY TOAST -,Food & Drink,Sale,-189.22,
01/14/2025,01/15/2025,SIMS BARBER LAB 1,Personal,Sale,-66.00,
01/07/2025,01/09/2025,STAR OSCO 4587,Groceries,Sale,-190.57,
01/07/2025,01/09/2025,STAR OSCO 4587,Groceries,Sale,-14.19,
01/07/2025,01/07/2025,Payment Thank You-Mobile,,Payment,2370.65,
01/02/2025,01/03/2025,BUNNINGS 643000,Home,Sale,-74.18,
01/02/2025,01/03/2025,SDS 3562,Shopping,Sale,-24.93,
01/02/2025,01/02/2025,BIG W/ANKETELL &amp; PITMAN S,Shopping,Sale,-30.42,
01/02/2025,01/02/2025,WOOLWORTHS/TOWN CENTRE ER,Groceries,Sale,-15.27,
12/31/2024,01/01/2025,ACT GOV PARKING FEES,Travel,Sale,-3.00,
